,absolutely,adapter,advertised,alright,amazing,android,anker,anti,apple,apply,armor,attractive,audio,awesome,backup,bad,basic,batteries,battery,beat,beautiful,best,better,big,bit,black,blue,bluetooth,bought,box,broke,bubbles,built,bulk,bulky,buttons,buy,cable,cables,came,capacity,car,case,cases,cell,charge,charger,chargers,charges,charging,cheap,clear,color,colors,combo,comfortable,commuter,compact,convenient,cool,cord,cost,cover,covers,customer,cute,day,deal,decent,defender,described,design,designed,device,devices,did,didn,disappointed,dock,does,doesn,don,dont,dual,durable,ear,easily,easy,effective,exactly,excellent,expected,expensive,external,extra,fake,fantastic,far,fast,favorite,feel,feels,finally,fine,fit,fits,flip,functional,galaxy,genuine,gets,gift,glare,good,got,great,grip,hands,handy,happy,hard,hate,hd,headphones,headset,heavy,high,highly,holder,holster,horrible,htc,hybrid,idea,impressed,inexpensive,install,ipad,iphone,issues,item,job,junk,just,lg,life,light,like,little,long,look,looking,looks,lot,lots,love,loved,loves,low,mah,makes,market,matte,micro,mini,mirror,mobile,money,months,motorola,mount,need,needed,needs,new,nexus,nice,note,oem,ok,okay,ordered,original,otter,otterbox,outstanding,overall,owned,pack,pay,pen,perfect,perfectly,phone,phones,pink,plantronics,plastic,plug,poor,port,portable,ports,power,powerful,premium,pretty,price,problem,problems,product,products,protect,protection,protective,protector,protectors,protects,purchase,purchased,quality,quick,quickly,quite,read,real,really,recommend,recommended,reliable,replacement,review,right,rugged,samsung,satisfied,saver,says,scratches,screen,second,series,service,set,short,simple,size,sleek,slim,slippery,small,solid,solution,sound,spigen,star,stars,strong,sturdy,style,stylish,stylus,super,sure,tablet,tech,terrible,thing,thought,time,touch,tough,travel,trent,tried,usb,use,used,useful,using,value,ve,wall,want,wanted,waste,way,white,wife,wireless,wonderful,work,worked,working,works,worth,wow,wrong,year,yes
0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,2,0,0,20,1,3,1,0,2,23,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,11,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,1,2,0,2,0,0,1,1,0,0,0,2,0,6,0,0,8,2,0,0,0,0,0,2,0,2,0,0,2,0,5,0,0,2,0,0,0,0,0,20,0,31,0,0,0,1,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,4,0,0,0,0,1,5,0,0,0,0,0,1,0,0,0,0,1,1,1,2,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,2,0,0,0,6,1,0,1,0,4,0,0,1,0,0,0,0,0,0,2,3,1,0,9,0,0,0,0,0,0,0,0,0,8,0,0,1,0,2,3,0,0,3,0,2,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,4,0,9,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,2,0,6,4,0,0,2,5,0,1,0,0,0,0,0,0,1,1,1,0,16,1,3,1,0,2
1,0,16,5,0,0,2,0,0,0,0,0,0,0,8,0,1,0,0,2,2,1,28,7,1,0,0,12,2,6,0,2,0,2,1,0,0,8,0,0,1,0,53,0,0,2,18,181,5,16,6,12,0,0,1,0,0,0,1,0,12,9,2,0,0,1,2,1,6,4,0,2,4,0,2,2,2,4,0,0,13,2,0,0,0,1,0,1,0,1,5,12,4,0,0,0,1,1,6,32,1,0,0,1,15,1,0,0,0,13,12,1,0,0,57,1,141,0,0,0,2,0,1,0,0,2,2,7,1,0,0,1,15,0,1,0,4,0,0,1,0,3,3,0,6,2,3,14,6,6,5,0,5,9,1,0,11,1,1,1,0,0,0,0,20,3,0,1,2,8,37,0,2,1,1,0,5,33,3,12,5,3,2,4,0,0,0,1,0,0,1,0,22,7,14,4,0,0,0,1,1,1,0,0,22,2,0,4,30,0,0,14,0,0,0,0,0,0,0,0,4,16,3,8,2,1,4,4,0,1,3,4,0,4,0,8,3,0,2,0,0,4,0,0,0,4,3,0,0,0,0,1,4,2,0,0,0,3,0,3,0,1,0,2,1,0,0,0,2,0,3,1,0,1,0,1,22,7,4,1,2,4,7,2,0,1,1,1,0,1,0,2,9,7,6,113,0,2,0,3,2
2,1,0,3,0,3,1,0,0,0,0,0,0,0,10,11,3,0,1,45,0,0,4,2,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,2,6,0,0,0,2,3,49,1,1,5,0,0,0,0,0,0,0,13,4,2,0,0,0,0,1,0,3,1,1,0,1,2,2,10,0,1,0,1,0,7,1,0,0,0,0,0,0,3,3,0,15,2,0,10,2,0,3,2,3,0,0,0,3,0,0,0,0,1,1,0,0,0,0,20,0,87,0,0,9,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,8,0,3,2,0,4,0,3,2,2,12,2,2,1,0,1,2,12,0,0,0,2,1,2,0,0,0,0,1,2,3,0,0,7,0,2,8,0,11,0,0,1,1,0,0,0,0,0,1,0,5,0,0,14,1,6,5,0,0,0,1,0,1,23,0,23,4,0,0,7,0,0,23,1,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,2,1,0,1,0,0,0,0,2,2,0,0,0,0,1,0,0,1,6,3,2,0,4,4,1,0,0,0,1,1,1,0,1,0,2,0,1,0,0,1,1,2,1,0,3,7,0,3,7,0,3,0,1,0,1,0,0,0,1,0,2,0,0,2,4,1,16,7,1,1,0,0
3,0,0,1,0,2,0,0,0,16,0,0,0,0,3,0,11,0,0,1,1,0,2,0,0,0,0,0,0,3,1,4,0,0,0,0,1,11,48,10,1,0,0,0,1,0,7,12,1,0,15,24,0,0,0,0,0,0,0,0,1,9,1,0,0,1,0,1,5,3,0,1,0,0,0,0,3,4,0,0,8,9,5,5,0,1,0,0,0,0,2,3,0,0,0,3,0,0,3,3,0,0,1,0,9,6,1,0,0,0,2,1,0,0,43,2,66,0,0,0,5,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,5,25,0,4,4,11,9,0,1,0,9,3,2,0,0,4,0,0,9,1,2,0,0,1,0,0,0,0,0,0,9,3,0,0,1,1,1,0,0,5,0,4,9,6,1,5,1,0,0,0,0,0,5,0,12,0,3,0,0,0,0,0,7,0,0,0,0,0,2,2,28,1,1,21,1,0,0,0,0,0,0,0,0,12,0,2,0,2,4,1,2,0,0,5,3,2,0,0,1,0,2,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,1,0,0,2,3,1,3,1,0,0,0,0,19,1,0,0,0,4,1,0,0,0,8,1,2,0,0,2,20,9,5,54,3,0,1,0,0
4,1,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,13,2,0,2,0,0,17,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4,0,1,0,0,1,0,0,1,2,1,1,0,0,1,0,2,1,0,4,0,0,0,0,0,2,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,6,0,19,0,0,0,0,0,1,0,0,13,0,3,0,0,0,0,0,0,0,1,0,0,0,2,1,1,0,0,0,0,1,1,4,1,2,0,1,0,0,1,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,5,0,0,1,0,0,0,0,0,0,1,4,0,1,2,0,0,0,0,0,0,0,1,1,6,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,3,0,0,5,0,0,1,0,0,1,1,0,1,0,0,0,0,2,1,2,0,0,0,0,0,0,4,2,0,0,0,4,0,0,0,0,1,0,0,0,0,3,1,0,2,0,0,0,0,0
5,1,0,0,1,1,0,0,0,1,2,0,0,0,3,0,3,0,0,0,2,0,1,3,1,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,19,2,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,4,2,0,0,0,0,0,0,0,3,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,10,1,0,9,1,1,1,1,9,9,2,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,1,1,1,1,6,3,1,0,0,4
6,1,0,5,1,1,0,0,0,0,0,0,0,0,1,0,5,1,0,1,2,0,0,2,0,0,0,0,0,3,0,1,0,0,1,0,0,3,58,8,1,0,0,2,0,0,3,6,0,4,15,8,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,1,4,2,0,1,0,0,0,1,0,2,0,0,9,4,3,1,0,0,0,2,0,1,10,0,8,0,0,3,1,0,0,1,0,0,0,1,6,4,0,0,1,14,2,0,1,0,32,2,47,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,1,2,1,1,2,8,0,0,0,4,2,0,0,1,2,0,0,2,0,0,1,0,0,0,0,3,0,0,3,1,2,1,0,2,2,2,0,8,3,1,10,5,6,2,7,0,0,0,0,0,0,0,0,12,4,5,2,0,0,0,1,0,1,0,0,0,0,0,1,13,0,1,11,0,0,0,0,0,0,0,0,1,8,0,0,0,0,3,1,0,1,0,15,1,4,0,35,0,0,3,0,0,1,0,0,0,13,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,25,2,1,0,0,4,4,0,1,0,1,1,0,0,0,0,11,6,2,59,3,0,0,2,0
7,0,0,0,0,3,0,0,1,0,0,0,0,1,1,0,2,0,0,1,0,0,18,1,1,0,0,0,22,2,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,0,0,6,0,1,0,0,0,1,2,0,1,0,0,5,1,2,0,0,1,0,0,0,0,0,8,0,12,0,2,0,3,0,0,0,0,28,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,1,1,0,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,10,0,0,3,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,1,3,0,0,0,7,0,0,0,0,0,0,0,0,0,1,1,0,9,0,1,0,0,0
8,0,0,0,0,3,0,0,0,0,0,0,0,1,6,0,6,1,0,6,2,0,13,1,1,0,0,1,18,1,1,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,0,0,3,0,0,2,0,0,0,0,0,1,9,0,0,3,0,2,1,1,0,1,0,2,2,5,0,0,1,1,0,2,0,0,6,0,1,0,0,0,1,3,1,1,0,0,2,1,3,0,0,1,0,0,0,3,0,40,2,45,0,0,0,0,0,0,0,28,12,0,1,0,0,0,1,1,0,1,0,0,0,1,2,0,0,0,0,4,1,5,0,3,0,1,0,3,0,1,0,7,0,1,1,0,0,0,0,0,0,0,0,1,5,7,0,0,0,1,0,0,6,0,0,3,2,0,0,0,0,0,1,1,0,1,0,7,0,2,1,0,0,0,0,4,0,0,0,0,0,0,6,9,1,0,5,0,0,0,0,0,0,0,0,0,14,0,1,1,0,0,1,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1,20,0,0,2,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,8,0,0,0,5,3,0,0,1,0,3,0,1,4,1,8,2,3,5,1,0,0,1,0
9,0,0,0,0,2,1,0,0,0,0,0,0,0,4,2,0,0,0,21,0,0,3,1,1,0,0,0,0,1,0,1,0,4,0,0,0,1,1,2,0,4,0,0,0,1,5,8,0,2,6,0,0,0,0,1,0,0,0,0,0,2,0,0,0,2,0,1,0,0,0,0,1,0,6,4,0,1,1,0,2,1,1,0,1,0,0,0,2,1,1,3,0,0,5,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,26,0,0,4,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,3,0,1,1,0,5,0,3,1,2,2,3,0,1,0,0,1,3,0,1,0,3,0,0,0,1,0,0,2,0,0,0,0,1,2,1,5,0,2,0,0,0,0,1,0,0,0,1,1,0,9,0,0,5,0,0,1,0,0,0,0,0,0,6,1,7,0,0,0,4,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,0,2,4,0,0,0,0,0,1,0,0,0,1,2,0,0,0,3,1,0,0,0,0,3,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,6,0,3,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,1,0
